2019-01-27 15:27:42.591  INFO 41617 --- [main] e.d.DeloitteActivitySchedulerApplication : Starting DeloitteActivitySchedulerApplication on MACPRO141.local with PID 41617 (/Users/admin/my-work/deloitte-activity-scheduler/target/classes started by admin in /Users/admin/my-work/deloitte-activity-scheduler)
2019-01-27 15:27:42.594  INFO 41617 --- [main] e.d.DeloitteActivitySchedulerApplication : No active profile set, falling back to default profiles: default
2019-01-27 15:27:43.037  INFO 41617 --- [main] e.d.DeloitteActivitySchedulerApplication : Started DeloitteActivitySchedulerApplication in 0.71 seconds (JVM running for 3.376)
2019-01-27 15:27:43.046  INFO 41617 --- [main] c.d.e.d.b.ActivityScheduleServiceImpl    : No of activities 20
2019-01-27 15:27:43.047  INFO 41617 --- [main] c.d.e.d.b.ActivityScheduleServiceImpl    : Team 1
2019-01-27 15:27:43.047  INFO 41617 --- [main] c.d.e.d.b.ActivityScheduleServiceImpl    : -------------------------
2019-01-27 15:27:43.047  INFO 41617 --- [main] c.d.e.d.b.ActivityScheduleServiceImpl    : 09:00 : Indiano Drizzle 60min
2019-01-27 15:27:43.047  INFO 41617 --- [main] c.d.e.d.b.ActivityScheduleServiceImpl    : 10:00 : Time Tracker 15min
2019-01-27 15:27:43.048  INFO 41617 --- [main] c.d.e.d.b.ActivityScheduleServiceImpl    : 10:15 : New Zealand Haka 30min
2019-01-27 15:27:43.048  INFO 41617 --- [main] c.d.e.d.b.ActivityScheduleServiceImpl    : 10:45 : Monti Carlo or Bust 60min
2019-01-27 15:27:43.048  INFO 41617 --- [main] c.d.e.d.b.ActivityScheduleServiceImpl    : 11:45 : Lunch Break 60min
2019-01-27 15:27:43.048  INFO 41617 --- [main] c.d.e.d.b.ActivityScheduleServiceImpl    : 12:45 : Enigma Challenge 60min
2019-01-27 15:27:43.048  INFO 41617 --- [main] c.d.e.d.b.ActivityScheduleServiceImpl    : 13:45 : Digital Tresure Hunt 60min
2019-01-27 15:27:43.048  INFO 41617 --- [main] c.d.e.d.b.ActivityScheduleServiceImpl    : 14:45 : Arduino Bonanza 30min
2019-01-27 15:27:43.048  INFO 41617 --- [main] c.d.e.d.b.ActivityScheduleServiceImpl    : 15:15 : Wine Tasting 15min
2019-01-27 15:27:43.049  INFO 41617 --- [main] c.d.e.d.b.ActivityScheduleServiceImpl    : 15:30 : Cricket 2020 60min
2019-01-27 15:27:43.049  INFO 41617 --- [main] c.d.e.d.b.ActivityScheduleServiceImpl    : 16:30 : Giant Digital Graffiti 30min
2019-01-27 15:27:43.049  INFO 41617 --- [main] c.d.e.d.b.ActivityScheduleServiceImpl    : 17:00 : Staff Motivation Presentation 60min
2019-01-27 15:27:43.049  INFO 41617 --- [main] c.d.e.d.b.ActivityScheduleServiceImpl    : Team 2
2019-01-27 15:27:43.049  INFO 41617 --- [main] c.d.e.d.b.ActivityScheduleServiceImpl    : -------------------------
2019-01-27 15:27:43.049  INFO 41617 --- [main] c.d.e.d.b.ActivityScheduleServiceImpl    : 09:00 : Giant Puzzle Dinosaurs 30min
2019-01-27 15:27:43.050  INFO 41617 --- [main] c.d.e.d.b.ActivityScheduleServiceImpl    : 09:30 : Viking Axe Throwing 60min
2019-01-27 15:27:43.050  INFO 41617 --- [main] c.d.e.d.b.ActivityScheduleServiceImpl    : 10:30 : 2-wheeled Segways 15min
2019-01-27 15:27:43.050  INFO 41617 --- [main] c.d.e.d.b.ActivityScheduleServiceImpl    : 10:45 : Salsa & Pickles 15min
2019-01-27 15:27:43.050  INFO 41617 --- [main] c.d.e.d.b.ActivityScheduleServiceImpl    : 11:00 : Buggy Driving 30min
2019-01-27 15:27:43.050  INFO 41617 --- [main] c.d.e.d.b.ActivityScheduleServiceImpl    : 11:30 : Lunch Break 60min
2019-01-27 15:27:43.050  INFO 41617 --- [main] c.d.e.d.b.ActivityScheduleServiceImpl    : 12:30 : Human Table Football 30min
2019-01-27 15:27:43.050  INFO 41617 --- [main] c.d.e.d.b.ActivityScheduleServiceImpl    : 13:00 : Laser Clay Shooting 60min
2019-01-27 15:27:43.051  INFO 41617 --- [main] c.d.e.d.b.ActivityScheduleServiceImpl    : 14:00 : Learning Magic Tricks 45min
2019-01-27 15:27:43.051  INFO 41617 --- [main] c.d.e.d.b.ActivityScheduleServiceImpl    : 14:45 : Archery 45min
2019-01-27 15:27:43.051  INFO 41617 --- [main] c.d.e.d.b.ActivityScheduleServiceImpl    : 15:30 : Duck Herding 60min
2019-01-27 15:27:43.051  INFO 41617 --- [main] c.d.e.d.b.ActivityScheduleServiceImpl    : 17:00 : Staff Motivation Presentation 60min
